Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
Lithuania,LTU,Land area (sq. km),AG.LND.TOTL.K2,,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62675,62675,62675,62674,62674,62675,62675,,
Luxembourg,LUX,Land area (sq. km),AG.LND.TOTL.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,,
Latvia,LVA,Land area (sq. km),AG.LND.TOTL.K2,,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62180,62240,62200,62180,62190,62190,,
Macao SAR China,MAC,Land area (sq. km),AG.LND.TOTL.K2,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26,27,27,28,28,28.6,29.2,29.2,29.5,29.7,29.9,29.9,30.3,30.3,,
St. Martin (French part),MAF,Land area (sq. km),AG.LND.TOTL.K2,,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,,
Morocco,MAR,Land area (sq. km),AG.LND.TOTL.K2,,446340,446340,446340,446340,446340,446340,446340,446340,446340,446340,446340,446340,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,,
Monaco,MCO,Land area (sq. km),AG.LND.TOTL.K2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Moldova,MDA,Land area (sq. km),AG.LND.TOTL.K2,,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32950,32940,32930,32930,32920,32910,32900,32880,32880,32880,32870,32880,32890,32890,32890,32890,32890,32850,32850,32860,32880,32880,,
Madagascar,MDG,Land area (sq. km),AG.LND.TOTL.K2,,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581795,581795,581800,581800,,
Maldives,MDV,Land area (sq. km),AG.LND.TOTL.K2,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,,
Middle East & North Africa (all income levels),MEA,Land area (sq. km),AG.LND.TOTL.K2,,11238640,11238640,11238640,11238640,11238640,11238640,11238640,11238640,11238640,11238640,11238640,11238640,11238600,11238600,11238600,11238600,11238600,11238600,11238600,11238600,11238600,11238600,11238600,11238600,11238600,11238600,11238600,11238600,11238600,11238600,11238600,11238620,11238620,11238620,11238620,11238620,11238620,11238620,11238620,11238620,11238620,11238620,11238440,11238430,11238440,11238500,11238520,11238530,11236020,11236012,11236017,11236020,11236020,11236020,,
Mexico,MEX,Land area (sq. km),AG.LND.TOTL.K2,,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,,
Marshall Islands,MHL,Land area (sq. km),AG.LND.TOTL.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,,
Middle income,MIC,Land area (sq. km),AG.LND.TOTL.K2,,61331847,61331847,61331847,61331847,61331847,61331847,61331847,61331847,61331847,61331847,61331847,61331847,61331777,61331737,61331857,61331727,61331727,61331727,61331727,61331727,61331727,61331727,61331727,61331727,61331727,61331727,61331727,61331727,61330737,61330737,61332187,61332387,61332467,61325584,61325544,61325564,61325564,61297009,61296622,61282172,61282195.2,61278968.2,61278381.7,61276618.5,61276505.8,61276682.4,61276403.8,61276191.8,61273687,61273701,61273863,61273592,61273553,61273553,,
Macedonia FYR,MKD,Land area (sq. km),AG.LND.TOTL.K2,,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25230,25230,25220,25220,25220,25220,25220,25220,,
Mali,MLI,Land area (sq. km),AG.LND.TOTL.K2,,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,,
Malta,MLT,Land area (sq. km),AG.LND.TOTL.K2,,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,,
Myanmar,MMR,Land area (sq. km),AG.LND.TOTL.K2,,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653420,653360,653470,653520,653310,653300,653260,653290,653150,653080,653080,,
Middle East & North Africa (developing only),MNA,Land area (sq. km),AG.LND.TOTL.K2,,8643770,8643770,8643770,8643770,8643770,8643770,8643770,8643770,8643770,8643770,8643770,8643770,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643730,8643540,8643520,8643520,8643580,8643590,8643590,8641080,8641070,8641070,8641070,8641070,8641070,,
Montenegro,MNE,Land area (sq. km),AG.LND.TOTL.K2,,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,,
Mongolia,MNG,Land area (sq. km),AG.LND.TOTL.K2,,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,,
Northern Mariana Islands,MNP,Land area (sq. km),AG.LND.TOTL.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,,
Mozambique,MOZ,Land area (sq. km),AG.LND.TOTL.K2,,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,,
Mauritania,MRT,Land area (sq. km),AG.LND.TOTL.K2,,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,,
Mauritius,MUS,Land area (sq. km),AG.LND.TOTL.K2,,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,,
Malawi,MWI,Land area (sq. km),AG.LND.TOTL.K2,,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,,
Malaysia,MYS,Land area (sq. km),AG.LND.TOTL.K2,,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,,
North America,NAC,Land area (sq. km),AG.LND.TOTL.K2,,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18252520,18255480,18255480,18255480,18255480,18255480,18255480,18255480,18255480,18240980,18240980,18240980,18240980,18240980,18240980,18240980,,
Namibia,NAM,Land area (sq. km),AG.LND.TOTL.K2,,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,,
New Caledonia,NCL,Land area (sq. km),AG.LND.TOTL.K2,,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,,
Niger,NER,Land area (sq. km),AG.LND.TOTL.K2,,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,,
Nigeria,NGA,Land area (sq. km),AG.LND.TOTL.K2,,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,,
Nicaragua,NIC,Land area (sq. km),AG.LND.TOTL.K2,,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,,
Netherlands,NLD,Land area (sq. km),AG.LND.TOTL.K2,,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33730,33730,33720,33720,33670,33670,,
High income: nonOECD,NOC,Land area (sq. km),AG.LND.TOTL.K2,,23412430.4,23412430.4,23412430.4,23412430.4,23412430.4,23412430.4,23412430.4,23412430.4,23412430.4,23412430.4,23412430.4,23412430.4,23412430.4,23412430.4,23412420.4,23412420.4,23412410.4,23412410.4,23412410.4,23412320.4,23412320.4,23412310.4,23412310.4,23412310.4,23412310.4,23412310.4,23412310.4,23412310.4,23412310.4,23412310.4,23412770.4,23412790.4,23409020.4,23404170.4,23401280.4,23400930.4,23470370.4,23472950.4,23480160.4,23472990.4,23472096.4,23472602.4,23472664.4,23472977.4,23473147.4,23469503,23469514.6,23468654.6,23468638.9,23468699.1,23468665.3,23468650.3,23468657.7,23468657.7,,
Norway,NOR,Land area (sq. km),AG.LND.TOTL.K2,,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,365245,,
Nepal,NPL,Land area (sq. km),AG.LND.TOTL.K2,,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,,
New Zealand,NZL,Land area (sq. km),AG.LND.TOTL.K2,,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,,
High income: OECD,OEC,Land area (sq. km),AG.LND.TOTL.K2,,31611111,31611091,31611101,31611101,31611091,31611081,31611071,31611061,31611061,31611051,31611041,31610941,31610941,31610911,31610691,31610611,31610491,31610491,31610461,31610281,31610361,31610151,31610111,31608622,31608522,31608622,31608532,31608522,31608522,31608522,31608522,31608562,31608542,31608532,31608522,31608411,31608310,31608279,31608238,31643417,31643166,31643695,31643814,31643833,31643711,31643090,31643187,31628238,31629121,31630592,31630377,31627782,31627835,31627835,,
OECD members,OED,Land area (sq. km),AG.LND.TOTL.K2,,34324691,34324671,34324681,34324681,34324671,34324661,34324651,34324641,34324641,34324631,34324621,34324521,34324521,34324491,34324271,34324191,34324071,34324071,34324041,34323861,34323941,34323731,34323691,34322202,34322102,34322202,34322112,34322102,34322102,34322102,34322102,34322142,34322122,34322112,34322102,34321991,34321890,34321859,34321818,34356997,34356746,34357275,34357394,34357413,34357291,34356670,34356767,34341818,34342701,34344172,34343957,34341362,34341415,34341415,,
Oman,OMN,Land area (sq. km),AG.LND.TOTL.K2,,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,,
Other small states,OSS,Land area (sq. km),AG.LND.TOTL.K2,,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1869404,1862481,1862481,1862481,1862481,1862481,1862481,1862481,1862481,1862481,1862481,1860798,1860798,1860798,1860798,1860798,1860798,1860798,1860798,1860798,1860793,1860793,,
Pakistan,PAK,Land area (sq. km),AG.LND.TOTL.K2,,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,,
Panama,PAN,Land area (sq. km),AG.LND.TOTL.K2,,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,,
Peru,PER,Land area (sq. km),AG.LND.TOTL.K2,,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,,
Philippines,PHL,Land area (sq. km),AG.LND.TOTL.K2,,298260,298260,298260,298260,298260,298260,298260,298260,298260,298260,298260,298260,298230,298190,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,,
Palau,PLW,Land area (sq. km),AG.LND.TOTL.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,,
Papua New Guinea,PNG,Land area (sq. km),AG.LND.TOTL.K2,,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,,
Poland,POL,Land area (sq. km),AG.LND.TOTL.K2,,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306240,306330,306330,306320,306320,306300,306280,306280,306230,306220,306210,306210,,
Puerto Rico,PRI,Land area (sq. km),AG.LND.TOTL.K2,,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,,
Korea Dem. Rep.,PRK,Land area (sq. km),AG.LND.TOTL.K2,,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,,
Portugal,PRT,Land area (sq. km),AG.LND.TOTL.K2,,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91470,91470,91470,91470,91590,91590,91590,91590,91600,91600,,
Paraguay,PRY,Land area (sq. km),AG.LND.TOTL.K2,,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,,
Pacific island small states,PSS,Land area (sq. km),AG.LND.TOTL.K2,,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,62840,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,64180,,
French Polynesia,PYF,Land area (sq. km),AG.LND.TOTL.K2,,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,,
Qatar,QAT,Land area (sq. km),AG.LND.TOTL.K2,,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,,
Romania,ROU,Land area (sq. km),AG.LND.TOTL.K2,,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,229350,229350,229460,229460,229460,229510,229490,229520,229530,229590,229600,229710,229710,229870,229950,230000,229980,229980,229890,229900,230060,230050,230170,230020,230030,230030,,
Russian Federation,RUS,Land area (sq. km),AG.LND.TOTL.K2,,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16389950,16386180,16381330,16378380,16377960,16378650,16381300,16388510,16381340,16380440,16380940,16380980,16381230,16381390,16377740,16377740,16376870,16376870,16376870,16376870,16376870,16376870,16376870,,
Rwanda,RWA,Land area (sq. km),AG.LND.TOTL.K2,,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,24670,,
South Asia,SAS,Land area (sq. km),AG.LND.TOTL.K2,,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4779833,4772910,4772910,4772910,4772910,4772910,4772910,4773260,4773260,4773260,4773260,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4771577,4771577,,
Saudi Arabia,SAU,Land area (sq. km),AG.LND.TOTL.K2,,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,,
Sudan,SDN,Land area (sq. km),AG.LND.TOTL.K2,,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,2376000,,
Senegal,SEN,Land area (sq. km),AG.LND.TOTL.K2,,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,192530,,
Singapore,SGP,Land area (sq. km),AG.LND.TOTL.K2,,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,675,687,689,689,694,695,700,700,702,704,706,707,707,,
Solomon Islands,SLB,Land area (sq. km),AG.LND.TOTL.K2,,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,27990,,
Sierra Leone,SLE,Land area (sq. km),AG.LND.TOTL.K2,,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,72180,,
